,Method,Sensitivity (%),Specificity (%),Accuracy (%),F1 Score (%),MCC (%),auROC (%)
0,amPEP,56.62009314703925,43.48404255319149,50.04988360492185,53.1210986267166,0.1050459480109652,
1,CAMP-ANN,77.51164337990686,72.53989361702128,75.02494180246092,75.62479714378449,50.113093536664245,
2,CAMP-DA,81.0379241516966,71.4095744680851,76.2221483205853,77.30879086004444,52.69141440551264,80.1579686371937
3,CAMP-RF,84.69727212242181,72.73936170212765,78.71632856667775,79.91211550533585,57.8503961487551,83.04972501804899
4,CAMP-SVM,83.03393213572853,71.875,77.45261057532423,78.63894139886578,55.252884067366196,80.27227902351326
5,iAMP-2L,76.18097139055223,74.60106382978722,75.39075490522114,75.5775577557756,50.78823665132744,
6,iAMPpred,89.5542248835662,55.91755319148936,72.73029597605588,76.65148063781321,48.282539680103845,82.27622768647103
7,Veltri-DNN,90.08649367930805,66.95478723404256,78.51679414699035,80.73941562313655,58.62873873636049,86.45486066873345
Veltri Recr. - DNN*,,75.98137059214903,85.1063829787234,80.54539408047889,79.60962007668178,61.34482374446185,85.8150498648094
BERT - DNN,,84.4311377245509,84.90691489361703,84.66910542068507,84.62820940313438,69.33891149507112,90.83990706530201
BERT BFD - DNN,,86.82634730538922,88.16489361702128,87.49584303292318,87.40790354989953,74.99820852772442,93.58441804334593
T5XL UNI - DNN,,88.88888888888889,87.63297872340425,88.2607249750582,88.3305785123967,76.52765688672713,94.6574050480599
T5XL BFD - DNN,,86.16101131071191,88.9627659574468,87.5623545061523,87.38191632928475,75.15380473352229,93.67523817613002
XLNET - DNN,,82.63473053892216,78.92287234042553,80.77818423678085,81.12344872632266,61.5995826134248,88.87265362891239
